Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,OeFG%,OTOV%,ODRB%,OFT/FGA,,Arena,Attend.,Attend./G
1,Boston Celtics*,28.2,63,18,65,16,11.36,-0.49,10.87,123.2,111.5,+11.7,97.0,.223,.472,.608,,.577,10.7,24.9,.181,,.523,10.8,76.2,.146,,TD Garden,747084,18677
2,Oklahoma City Thunder*,23.4,56,25,56,25,6.90,-0.07,6.83,119.4,112.5,+6.9,99.8,.241,.383,.607,,.572,11.4,21.1,.199,,.532,13.7,73.7,.203,,Paycom Center,697306,17433
3,Minnesota Timberwolves*,27.2,56,25,57,24,6.77,-0.12,6.65,115.6,108.7,+6.9,97.2,.268,.385,.593,,.559,12.9,23.0,.208,,.514,12.9,77.0,.197,,Target Center,702936,17573
4,Denver Nuggets*,27.1,56,25,53,28,5.14,0.04,5.18,118.4,113.1,+5.3,96.8,.223,.351,.588,,.561,11.4,25.4,.169,,.526,11.2,75.6,.196,,Ball Arena,807062,19684
5,New York Knicks,26.4,49,32,52,29,4.63,-0.20,4.43,118.2,113.4,+4.8,95.2,.246,.404,.574,,.540,11.8,29.3,.192,,.544,12.3,76.1,.177,,Madison Square Garden (IV),789073,19727
6,New Orleans Pelicans,26.0,49,32,52,29,4.67,0.02,4.68,117.5,112.7,+4.8,97.9,.263,.372,.591,,.558,11.7,24.4,.203,,.540,12.9,76.9,.186,,Smoothie King Center,673421,17267
7,Los Angeles Clippers*,30.4,51,30,49,32,3.46,0.11,3.56,119.0,115.5,+3.5,97.1,.257,.383,.601,,.563,12.0,24.3,.212,,.541,11.7,74.9,.185,,Crypto.com Arena,757412,18935
8,Milwaukee Bucks*,30.2,49,32,48,33,2.96,-0.21,2.75,118.7,115.7,+3.0,99.9,.270,.431,.602,,.569,11.5,21.9,.208,,.538,10.6,77.2,.189,,Fiserv Forum,740850,17659
9,Phoenix Suns,29.3,48,33,48,33,2.86,-0.08,2.79,117.4,114.5,+2.9,98.4,.272,.379,.602,,.564,13.4,24.9,.220,,.536,11.2,75.7,.176,,Footprint Center,699911,17071
10,Philadelphia 76ers,28.4,46,35,48,33,2.83,-0.49,2.34,117.0,114.1,+2.9,97.5,.265,.372,.575,,.532,10.7,24.8,.219,,.538,13.1,74.1,.215,,Wells Fargo Center,801468,20037
