 
,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,,,
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
1,Oklahoma City Thunder,24.7,64,14,64,14,12.53,0.09,12.61,120.0,107.5,+12.5,99.9,.220,.418,.592,,.559,10.4,24.2,.180,,.514,15.0,74.7,.210,,Paycom Center,736629,17967
2,Cleveland Cavaliers,26.6,62,16,60,18,9.79,-0.83,8.97,122.2,112.4,+9.8,99.8,.243,.457,.610,,.580,11.6,25.7,.190,,.529,12.7,74.7,.182,,Rocket Arena,757848,19432
3,Boston Celtics,29.0,58,20,59,19,9.26,-0.68,8.57,121.1,111.5,+9.6,95.9,.215,.536,.593,,.563,10.7,25.8,.172,,.524,11.6,76.3,.157,,TD Garden,747084,19156
4,Houston Rockets,24.9,52,27,53,26,5.48,0.32,5.80,115.4,109.9,+5.5,98.5,.246,.381,.552,,.521,11.8,32.0,.182,,.524,12.9,76.2,.185,,Toyota Center,698798,17470
5,Minnesota Timberwolves,27.2,46,32,50,28,4.67,0.29,4.95,116.2,111.5,+4.7,97.3,.250,.455,.587,,.553,13.0,25.8,.197,,.532,13.2,75.0,.179,,Target Center,734293,18828
6,Los Angeles Clippers,29.7,46,32,50,28,4.54,0.12,4.66,114.6,110.0,+4.6,97.7,.253,.389,.587,,.551,13.5,24.3,.202,,.533,13.7,77.3,.191,,Intuit Dome,643739,16506
7,New York Knicks,27.5,50,28,49,29,4.42,-0.71,3.72,118.7,114.2,+4.5,96.9,.233,.380,.591,,.558,11.9,25.9,.187,,.547,13.0,74.4,.174,,Madison Square Garden (IV),772170,19799
8,Memphis Grizzlies,24.7,46,32,49,29,4.65,-0.02,4.63,117.6,113.1,+4.5,103.3,.251,.403,.587,,.553,13.2,28.8,.197,,.533,12.8,74.7,.205,,FedEx Forum,648266,16622
9,Denver Nuggets,27.0,47,32,48,31,3.65,-0.03,3.61,119.7,116.1,+3.6,99.9,.256,.357,.604,,.574,12.6,26.7,.197,,.542,11.3,74.6,.175,,Ball Arena,791196,19780
10,Golden State Warriors,28.6,46,32,46,32,2.87,0.35,3.22,114.8,111.9,+2.9,98.8,.240,.468,.567,,.536,12.3,27.4,.183,,.542,13.9,75.7,.190,,Chase Center,704496,18064
11,Indiana Pacers,25.8,47,31,44,34,2.32,-0.64,1.68,116.9,114.6,+2.3,99.8,.238,.402,.598,,.566,11.8,21.0,.189,,.547,13.1,74.5,.193,,Gainbridge Fieldhouse,635260,16739
12,Detroit Pistons,25.8,43,36,44,35,2.03,-0.27,1.75,114.8,112.8,+2.0,99.9,.251,.393,.579,,.545,13.0,26.3,.195,,.537,13.3,76.0,.215,,Little Caesars Arena,741805,19021
13,Milwaukee Bucks,29.4,44,34,44,34,2.03,-0.38,1.65,115.4,113.4,+2.0,99.3,.266,.422,.596,,.566,12.2,19.3,.200,,.532,11.4,76.3,.178,,Fiserv Forum,679536,17432
14,Los Angeles Lakers,27.9,48,30,42,36,1.26,0.05,1.30,115.9,114.6,+1.3,97.6,.271,.426,.592,,.556,12.6,23.1,.214,,.539,12.1,74.9,.180,,Crypto.com Arena,748629,18716
15,Sacramento Kings,27.8,39,40,41,38,0.47,0.05,0.51,116.6,116.2,+0.4,98.4,.239,.391,.582,,.548,11.9,25.3,.192,,.556,12.5,76.9,.201,,Golden 1 Center,645981,17000
16,Miami Heat,26.8,36,43,40,39,0.08,-0.18,-0.11,113.0,112.9,+0.1,96.0,.234,.431,.575,,.542,12.6,22.1,.186,,.542,12.5,75.7,.158,,Kaseya Center,788369,19709
17,Orlando Magic,24.9,38,40,38,40,-0.50,-0.67,-1.17,109.1,109.6,-0.5,96.1,.271,.411,.548,,.508,12.9,25.2,.211,,.538,15.0,77.3,.223,,Kia Center,724147,18568
18,Dallas Mavericks,27.5,38,41,37,42,-0.89,0.46,-0.43,115.1,115.9,-0.8,99.3,.264,.391,.583,,.549,12.4,23.2,.204,,.540,11.7,73.3,.181,,American Airlines Center,742179,19531
19,Atlanta Hawks,24.9,37,41,35,43,-1.74,-0.10,-1.84,114.2,115.9,-1.7,102.7,.252,.408,.577,,.543,13.2,26.2,.196,,.562,13.8,76.1,.204,,State Farm Arena,639899,16408
20,Chicago Bulls,25.2,36,42,34,44,-2.10,-0.14,-2.24,114.0,116.1,-2.1,102.9,.215,.458,.585,,.554,12.7,22.0,.173,,.540,10.7,76.5,.181,,United Center,783750,20096
21,Phoenix Suns,29.1,35,43,33,45,-2.60,0.27,-2.33,116.6,119.2,-2.6,97.1,.246,.437,.597,,.562,12.8,22.6,.199,,.551,10.8,74.1,.192,,Footprint Center,648698,17071
22,San Antonio Spurs,26.0,32,46,33,45,-2.72,0.33,-2.39,114.4,117.1,-2.7,99.4,.234,.440,.574,,.543,12.2,24.5,.181,,.551,12.0,73.1,.159,,Frost Bank Center,712802,17958
23,Portland Trail Blazers,23.8,35,44,32,47,-3.14,0.39,-2.75,112.0,115.2,-3.2,98.8,.246,.419,.557,,.523,13.7,29.0,.189,,.544,13.5,72.5,.204,,Moda Center,680699,17454
24,Toronto Raptors,24.5,29,50,29,50,-4.47,0.04,-4.43,110.4,114.8,-4.4,99.7,.235,.371,.553,,.522,13.4,27.4,.176,,.540,13.1,73.8,.223,,Scotiabank Arena,748773,18719
25,Philadelphia 76ers,27.2,23,56,25,54,-6.28,0.13,-6.15,112.0,118.4,-6.4,97.1,.257,.424,.565,,.528,12.2,23.2,.201,,.573,14.3,71.9,.194,,Wells Fargo Center,773810,19841
26,Brooklyn Nets,24.8,25,53,23,55,-6.79,0.17,-6.62,108.5,115.6,-7.1,96.3,.239,.456,.551,,.515,13.7,24.7,.189,,.555,13.7,74.8,.216,,Barclays Center,661045,17396
27,Charlotte Hornets,25.1,19,59,20,58,-8.33,-0.24,-8.58,107.8,116.3,-8.5,97.6,.223,.429,.539,,.504,13.6,26.8,.176,,.547,12.0,74.6,.193,,Spectrum Center,686810,17170
28,New Orleans Pelicans,25.9,21,57,20,58,-8.71,0.77,-7.94,110.7,119.5,-8.8,98.9,.243,.383,.553,,.521,12.8,26.5,.183,,.563,12.4,72.6,.189,,Smoothie King Center,654552,16783
29,Utah Jazz,23.9,16,63,20,59,-9.22,0.67,-8.55,111.2,120.4,-9.2,99.9,.255,.448,.568,,.533,14.9,26.8,.197,,.559,10.3,74.1,.188,,Delta Center,708825,18175
